,Date,Total Fuel Used (kWh per capita),Coal (kWh per capita),Oil (kWh per capita),Gas (kWh per capita),Nuclear (kWh per capita),Hydro (kWh per capita),Wind (kWh per capita),Bioenergy (kWh per capita),Solar (kWh per capita),Low Carbon (kWh per capita),Renewables (kWh per capita),Fossil Fuels (kWh per capita),UK Population,Rainfall (mm),Sunshine (hours),Temperature (C),Wind (knots)
168,2009-01-01,1360.3394466503821,692.2313298298012,32.60754180827067,414.8143802237672,183.02176826560654,7.828806706408465,12.136523315197813,17.699096501330143,0.0,220.667465585896,37.645697320289514,1139.671981064486,62042150.0,119.3,52.7,2.8,12.059900000000003
169,2009-02-01,1220.4894280488982,569.8150424515014,21.787100792088417,362.74399772394634,237.29971120455065,5.184731030419666,8.085934314589515,15.554193091258998,0.0,266.14328708136185,28.824858436268183,954.3648584080793,62081137.5,59.8,53.2,3.7,10.830699999999997
170,2009-03-01,1201.2796175152578,454.19293666907464,17.265354826636294,417.978714627506,279.0141198202676,7.9686253046013675,11.316944387990205,13.542921879181668,0.0,311.84261139204085,32.828491571773235,889.4370061232169,62120125.0,79.0,139.2,6.1,11.577500000000002
171,2009-04-01,1005.3238131416371,307.4034881048213,11.066824675143167,399.2843044533495,265.90289557303447,5.103451243773791,7.0663171067637105,9.515225945351133,0.0,287.58788986892307,21.684994295888636,717.754617233314,62159112.5,60.0,161.4,8.9,8.6118
172,2009-05-01,958.4177330175679,283.01729474051456,12.367644670817919,415.58648897635135,222.72969753095353,4.446373763828799,10.686242827353247,9.602672750453792,0.0,247.4463046298842,24.716607098930673,710.9714283876839,62198100.0,81.7,212.5,10.8,7.2997000000000005
173,2009-06-01,972.5297315688174,281.14098366187204,10.399490496723518,405.3187418193372,257.1680109548828,1.997747725582435,6.086595874204427,10.418161036214942,0.0,275.67051559088463,18.502504636001806,696.8592159779328,62237087.5,61.7,203.0,13.7,8.503
174,2009-07-01,967.6106915858138,245.75572561372886,12.725336335021113,431.07543306157294,259.0035097748212,2.4629683229073125,6.5305978258906014,10.094438353733757,0.0,278.07285542642177,19.069345651600553,689.556495010323,62276075.0,145.5,168.8,15.1,8.246299999999998
175,2009-08-01,946.754470478145,210.71310006308664,10.945892897082468,450.87009260401527,250.31970400414826,5.407681329052667,9.3981772063536,9.118469551402601,0.0,274.2440320909571,23.924328086808867,672.5290855641845,62315062.5,114.7,154.3,15.3,8.453
176,2009-09-01,974.1716857204945,252.3062736101344,14.405255151830552,464.34119355519005,219.37731390342728,6.895141534511391,9.187310206794907,7.659197758605896,0.0,243.11896340333948,23.7416494999122,731.052722317155,62354050.0,63.8,128.0,13.2,7.293000000000001
177,2009-10-01,1098.3056563001924,374.93580914376867,15.979282944831786,477.3857339450736,204.37838116151983,5.996887072535938,8.678724769570643,10.913589517099565,0.0,229.98620639362207,25.607825232102222,868.3008260336741,62393037.5,107.4,83.1,10.4,10.850800000000001
178,2009-11-01,1120.2708866162839,336.8815924199159,16.788242892970395,504.3545520107669,228.44666659458827,9.175835638840804,12.377141378963762,12.209631194887562,0.0,262.2092748072804,33.781220455367254,858.0429995663284,62432025.0,215.0,59.3,7.3,9.590200000000001
179,2009-12-01,1236.495278510173,434.00842910942094,15.103709100280708,523.1798348073837,236.0047550053715,6.47301818583459,9.263112231452947,12.462420070428665,0.0,264.2033054930877,28.198550487716208,972.2919730170853,62471012.5,100.2,50.1,2.1,8.3745
180,2010-01-01,1370.4573348264278,547.48398656215,17.32497200447928,509.56237402015677,264.6147816349384,3.6062709966405375,11.48801791713326,16.339753639417694,0.0,296.0674132138858,31.452631578947365,1074.389921612542,62510000.0,79.4,53.3,0.9,10.0624
181,2010-02-01,1197.8580617967013,476.1487188867306,12.186078323568013,458.0739411293652,228.71188463379474,2.5635347692871733,6.9661270904542745,13.170624285685548,0.0,251.43074711812963,22.718862484334874,946.4273146785716,62552691.666666664,74.5,61.7,1.8,7.726800000000001
182,2010-03-01,1201.3664266507408,356.8865435496707,11.52803867590874,538.9961400241712,263.9382510371505,3.638479195616929,11.342401982254815,15.036572185967922,0.0,293.95570440099016,30.017453363839667,907.4107222497504,62595383.333333336,78.6,115.8,5.1,10.253300000000001
183,2010-04-01,1027.7634489884945,288.6352749505792,6.066182589423446,493.17878941841684,213.39234962121685,4.099774777561412,8.347957691867126,14.043119939429811,0.0,239.88320203007513,26.490852408858352,787.8802469584193,62638075.0,47.5,181.4,7.9,8.149099999999999
184,2010-05-01,992.1556692297423,274.36805442179764,5.2834388858251575,506.72813510577146,184.41982468838128,1.9650684978858481,6.265973134768081,13.125174495313024,0.0,205.77604081634829,21.356216127966952,786.3796284133942,62680766.666666664,38.9,199.1,9.7,9.9228
185,2010-06-01,923.2685113158752,268.64210692039063,6.558120533054153,448.0456076042788,178.84772775735817,1.2227004383660287,5.5577292653001305,14.394518797127338,0.0,200.0226762581517,21.174948500793494,723.2458350577236,62723458.333333336,38.4,208.7,14.1,6.765899999999999
186,2010-07-01,944.115801271864,299.98730207285297,8.460515739773747,424.8030506889462,181.79926600564158,3.036158821275481,11.293029762061238,14.736478181312698,0.0,210.864932770291,29.084179928193777,733.2508685015729,62766150.0,107.0,138.4,15.6,8.616200000000001
187,2010-08-01,902.2917872098953,241.89508350801464,7.030220400232929,436.9836996144784,185.48681508614567,2.9600928000980753,9.879309720327328,18.038065500597646,0.0,216.36428310716872,30.87746802102305,685.9275041027265,62808841.666666664,97.5,146.1,14.2,9.5941
188,2010-09-01,955.8118125996396,316.4778159747893,9.521326979028885,422.8948219772946,172.43770239495615,4.326195171053901,12.923121472507168,17.24931664356107,0.0,206.9363356820783,34.49863328712214,748.8754769175613,62851533.333333336,113.3,125.1,12.8,8.5613
189,2010-10-01,1102.5602748106046,405.9613740371234,11.362410459783867,403.46718637521974,241.19718463817628,5.949099460244561,16.70181960267417,17.921200237382685,0.0,281.76930393847766,40.553643836139166,820.7909708721269,62894225.0,100.5,104.6,9.4,8.5127
190,2010-11-01,1167.909676753045,487.2552330839213,12.000905668771509,423.595044244038,204.62467311845327,7.052839946878025,15.804269619182172,17.576711071800734,0.0,245.0769566881123,40.45228356965904,922.8511829967309,62936916.666666664,122.7,64.0,4.3,11.7194
191,2010-12-01,1362.803108360603,624.970955546061,10.147729033458315,439.1937125680759,259.74496242368394,2.5646078830012837,10.295332364854074,15.885808541468382,0.0,288.49071121300767,28.745748789323738,1074.3123971475952,62979608.333333336,47.1,46.4,-0.9,7.5862
192,2011-01-01,1281.361549800626,527.9513442067332,8.536756037148756,425.69465094101616,274.87248164538585,4.683231173727395,15.561602797739848,24.043045080868197,0.0,319.1603606977213,44.28787905233544,962.182751184898,63022300.0,102.2,49.7,3.1,7.877500000000001
193,2011-02-01,1112.2911788700046,462.65003841806504,8.089189376514678,349.1986967524594,250.8938554683915,6.8546206106229155,16.731170737757015,17.892033905685086,0.0,292.3532543229656,41.4593988545741,819.9379245470391,63061695.833333336,113.8,51.1,5.3,6.442699999999999
194,2011-03-01,1197.1155174151108,505.5257073603191,6.150575049480787,365.4251834787328,286.16747385907615,4.566894048716273,11.19625637749796,18.083427241287822,0.0,320.0140515265782,33.84657766750205,877.1014658885326,63101091.666666664,49.4,120.9,5.8,8.585899999999999
195,2011-04-01,944.0763028635153,258.2549905082694,3.183789165390907,374.1412354473823,271.8367038265265,5.208163779223276,13.471292884775398,17.998530657527787,0.0,308.514691148053,36.67798732152646,635.5800151210426,63140487.5,35.7,202.3,0.7,7.9018999999999995
196,2011-05-01,963.1118132802292,266.42549988880955,3.7335618167491598,380.1428038935389,269.1842894085749,4.818685694523547,22.346195110099654,16.46077746793349,0.0,312.80994768113163,43.62565827255669,650.3018655990976,63179883.333333336,100.7,190.5,11.0,6.7252
197,2011-06-01,935.9334807347468,288.20575369051124,3.85989848692649,353.87916937521766,257.0324782913335,4.282649273589867,11.120183736145362,17.57172835000821,0.0,289.98865918209157,32.95618089075807,645.9448215526553,63219279.166666664,84.7,174.5,12.6,6.557399999999998
198,2011-07-01,913.5282077912634,249.5982724898996,4.4820413959034076,393.4093466232102,234.77447164361251,3.839125621900869,8.798761592777591,18.626188423959242,0.0,266.03854728225025,31.264075638637706,647.4896605090132,63258675.0,75.7,169.4,14.2,9.007499999999999
199,2011-08-01,923.4785393999304,278.53970536358497,4.589397373024204,377.5972582629395,226.23893290060116,4.754615678453075,10.573971547447766,21.184658273879727,0.0,262.75217840038175,36.51324549978057,660.7080034100566,63298070.833333336,105.4,126.2,14.1,7.569399999999999
200,2011-09-01,925.7661394730028,295.7402780029093,4.127888495698175,387.1409023832129,194.32264420637813,6.953198843864928,19.043325593487584,18.437901947451852,0.0,238.75707059118244,44.43442638480436,687.0090688818203,63337466.666666664,107.4,126.4,13.8,8.5133
201,2011-10-01,1006.2670110878398,382.1882157703846,4.950387059630792,381.2714774260086,185.51117136794204,8.397323234484825,23.37682778158985,20.58994321468659,0.0,237.87526559870335,52.36409423076127,768.3917454891365,63376862.5,122.0,90.1,11.2,8.7516
202,2011-11-01,1113.7864619627642,543.5629743213852,5.863480592713409,321.83179103255725,191.9923426576597,7.714141654788579,22.262902875458725,20.55882882820139,0.0,242.52821601610842,50.53587335844869,871.2582459466558,63416258.333333336,99.0,58.5,8.7,8.930399999999999
203,2011-12-01,1148.7301322045312,577.3957022611,6.024648315749641,275.59561444386657,229.13806800904334,10.474464548962901,29.537257548036994,20.56437707777157,0.0,289.73247918477455,60.576099174771464,858.9976530197565,63455654.166666664,166.6,38.6,4.8,6.1871
204,2012-01-01,1167.617381197432,563.8609938884999,8.94901256082167,278.77363668506445,240.34229439932716,10.394763056332737,27.505860693077647,37.79081991430828,0.0,316.05203870222954,75.69144366371867,851.5653424952023,63495050.0,110.1,58.2,4.6,7.739300000000001
205,2012-02-01,1212.3684145975299,627.5569950793001,7.8101672077779405,270.48419828716675,244.27349662734048,7.444351413502628,22.954941090775915,31.84426489166603,0.0,306.5170540232851,62.24355739594457,905.8696513639587,63529241.666666664,59.4,62.6,4.2,9.7566
206,2012-03-01,1105.266287797544,609.8890819302293,6.2703661381832205,249.57154087019632,194.83837405468446,5.904747121379535,17.750803265818973,21.059655367892336,0.0,239.53529885893514,44.71520575509084,865.7309889386087,63563433.333333336,36.7,149.8,7.7,7.151
207,2012-04-01,1020.1133139798852,507.27944636297354,6.139097175405528,221.4094630106077,244.46761966347015,3.0878197102486133,18.435562648762435,19.294305408417372,0.0,285.2670363083527,40.79941664488257,734.8280065489867,63597625.0,128.2,126.7,6.3,7.818200000000001
208,2012-05-01,997.6150819728811,444.9549530908149,5.021858823769765,258.0139757128837,248.9381072204707,3.140944427957817,16.544742161219663,21.000500535764473,0.0,289.60603304059896,40.66792582012825,707.9907876274683,63631816.666666664,65.6,198.4,10.5,11.113
209,2012-06-01,904.5989768742372,371.61874317810344,5.712718757170395,248.76791265249994,237.25121765002544,2.7012216487578864,18.050731152848307,20.478180337205057,0.0,278.48135078883666,41.23013313881125,626.0993745877738,63666008.333333336,149.0,113.9,12.3,7.696199999999999
210,2012-07-01,925.3650067032756,406.7716898848042,3.4476814829466784,249.2363603253993,223.2419364460394,3.7577903994021997,14.082593147274263,24.845196718377647,0.0,265.90927501012555,42.667338564086144,659.4557316931501,63700200.0,118.4,136.5,14.1,6.7463
211,2012-08-01,927.8586090424493,394.3927813960202,3.9016297715767534,227.88070334083105,258.163913857602,3.60991913444952,15.752374404870631,24.175519051919512,0.0,301.68349453402124,43.51958067641921,626.175114508428,63734391.666666664,111.3,150.5,15.3,7.189399999999999
212,2012-09-01,922.5686838999873,455.0432592852018,5.1021989668371175,171.52499598156353,228.59673585347016,5.1568653843389445,29.137200528473393,28.025650039269596,0.0,290.9164518055521,62.31971595208195,631.6522320944352,63768583.333333336,111.8,138.4,11.9,10.3523
213,2012-10-01,1092.4146167623587,577.2229812888232,5.481924571462605,241.24110589233774,212.17415700179185,5.973658669234999,21.217415700179185,29.085161264537476,0.0,268.4686050097351,56.29444800794323,823.9460117526236,63802775.0,125.6,90.1,8.2,10.511700000000001
214,2012-11-01,1096.7988245055503,581.6464963613038,6.043269599798236,244.16993497498055,195.65995460310614,7.317452949153286,29.68847203997266,32.273243977235765,0.0,264.9391235694679,69.27916896636171,831.8597009360825,63836966.666666664,135.1,61.3,5.7,9.8999
215,2012-12-01,1168.2008898382537,602.7299489245211,10.442710253023698,230.84939094184264,246.69538507143093,7.149799877070232,38.02310876100963,32.292353134350286,0.0,324.16064684386106,77.46526177243014,844.0402429943928,63871158.333333336,178.3,45.7,3.8,12.4406
216,2013-01-01,1228.689397679537,624.3181517666361,6.418648829871051,248.52717339002135,275.56550429658864,6.891410500059855,32.256892419805226,34.72979961771589,0.0,349.4254236930085,73.87810253758097,879.2639739865286,63905350.0,109.7,36.1,3.3,10.427404910458334
217,2013-02-01,1104.8016701461377,562.2412841952686,3.6708600603589083,253.63462308133307,222.2142416736076,5.578980388763291,27.186171536123403,30.275509210682877,0.0,285.25490280917717,63.040661135569565,819.5467673369606,63942508.333333336,59.6,74.8,2.7,8.782859982237811
218,2013-03-01,1183.1648075690714,610.8977122940101,4.031968489989007,269.65151428318376,229.00491301924046,2.2702525281469637,31.42029498955397,35.86998994472202,0.0,298.58361250188864,69.56053746242296,884.5811950671829,63979666.666666664,64.4,80.7,2.2,7.427085337200542
219,2013-04-01,1008.8954583423968,471.93843181069974,3.0312968504764175,217.9447981058105,234.60785504435748,3.975173714097817,32.90862987972302,44.5074244153783,0.0,315.98093157541007,81.39122800919914,692.8963752888401,64016825.0,62.9,166.3,6.3,8.11272106056007
220,2013-05-01,925.914001184938,435.019940211889,2.2131956924875085,218.14490329641217,186.94247222199814,5.133888368639057,30.222819866263844,48.25492247554732,0.0,270.5359619841493,83.61163071045021,655.3780392007886,64053983.333333336,91.8,176.2,9.5,7.367647577934415
221,2013-06-01,846.836155334519,338.91214035428976,1.9218256501125937,251.63224715011967,192.30947802588943,2.157521248711308,21.992212392326188,37.91073051307013,0.0,254.3880726106585,62.078594584769064,592.466213154522,64091141.666666664,48.5,169.4,12.8,7.951254831202995
222,2013-07-01,900.5059232819207,365.4245317589894,2.5911493053768773,224.61459293322918,248.96777241872937,1.975071848154403,14.604659721215127,42.328145296226474,0.0,307.87564928432533,58.907876865596,592.6302739975954,64128300.0,65.2,247.4,17.0,7.050028593751757
223,2013-08-01,895.3303146617695,386.7269188835374,4.4005919591992315,178.5589988382898,271.3336186200909,2.6077581980439892,20.572314673458134,31.148222921080976,0.0,325.661914412674,54.328295792583106,569.6865096810265,64165458.333333336,72.2,157.6,15.6,7.297673726574707
224,2013-09-01,907.1737107288203,420.04045006473007,5.013409370386514,201.51371815842398,219.90225216677305,3.5835922575325987,26.913139833085726,30.170950976297174,0.0,280.5880341844842,60.68578201771112,626.5856765443361,64202616.666666664,71.0,113.6,12.7,9.057673900824032
225,2013-10-01,991.3573327428372,471.9465782686817,3.8347581385520106,196.87503575471737,235.31305954916562,5.679783280685524,43.37617932192322,34.35002691089749,0.0,318.7009605808862,83.40598951350624,672.656372161951,64239775.0,162.6,77.1,11.2,7.05938890200443
226,2013-11-01,1053.858460370439,488.77555867631105,3.254044478371712,257.93725898559774,228.5604685558531,7.014273653379024,36.626078406561604,31.672699589484665,0.0,303.8735202052784,75.31305164942529,749.9849401651603,64276933.333333336,90.4,70.0,5.5,8.228266534012343
227,2013-12-01,1071.7869165790648,503.00142879521866,2.872745229110624,211.9327140721234,254.31925688654806,9.359006469681152,56.334714618659916,33.9670505077231,0.0,353.9800284826122,99.66077159606417,717.8068880964527,64314091.666666664,185.5,41.6,5.7,9.270071003788516
228,2014-01-01,1083.7719236223072,534.455445698413,4.225372467512286,211.86450923641732,239.41971601173248,10.382859695810104,48.844583438550146,34.56137992657485,0.0,333.2265962199646,93.80688020823216,750.5453274023427,64351250.0,187.0,42.7,4.7,8.866217165244565
229,2014-02-01,949.4052616795161,465.31901614969973,3.175992664327432,188.98960894034767,200.57476399999663,9.004661019882889,53.84751199064237,28.49370691461941,0.0,291.9206439251413,91.34587992514466,657.4846177543749,64393095.833333336,167.8,74.8,5.2,7.992465852753702
230,2014-03-01,1011.4197097770323,492.6444438207892,2.777188825990246,218.26179455168798,207.96455546311378,9.395554404811158,41.29715851634847,39.079014194291325,0.0,297.7362825785647,89.77172711545094,713.6834271984675,64434941.666666664,79.8,126.0,6.7,8.357968117994895
231,2014-04-01,887.3847506748068,413.06400384789634,2.288792691478309,174.66912414021868,221.4902533721923,6.28967440414118,29.339799226194387,40.24310299268554,0.0,297.38085198491007,75.87257662302112,590.0219206795934,64476787.5,67.5,144.1,9.2,9.846858818702009
232,2014-05-01,854.1024995879743,325.59021967297303,2.5934833296220883,229.18107895445192,225.3989157654197,3.908235295333286,24.205844409806158,43.20671185946799,0.0,296.7197073300271,71.33880186550759,557.3827922579471,64518633.333333336,99.4,148.8,11.2,9.093079845536408
233,2014-06-01,801.2448895625323,209.46802400720514,2.3038242887886455,282.6324438035008,238.01384683547695,2.393817425069452,13.33698279681552,53.095950405675815,0.0,306.84059746303774,68.82675062756078,494.42229072675076,64560479.166666664,54.5,176.6,14.2,7.611450794239654
234,2014-07-01,799.8625126882043,181.74033210105054,1.7986968735258366,317.5599330209865,228.05677659434085,1.5109053737617029,19.28203048419697,49.931825209077225,0.0,298.7635506926415,70.70677409830064,501.0989619955628,64602325.0,64.3,221.9,16.3,6.393319252863871
235,2014-08-01,754.9456876138808,174.75611264511411,2.264890988817566,285.8436230490233,201.4674460529149,4.09837417024131,33.20042584401622,53.27886421313703,0.0,292.0630856056176,90.59563955270264,462.864626682955,64644170.833333336,137.9,169.5,13.9,7.705255078524614
236,2014-09-01,851.8385091471341,339.63961814518905,2.586772360126261,260.59935158577554,182.0800322377763,2.6945545417981887,13.706300769280123,50.5318795071887,0.0,249.01276705604332,66.91477112132169,602.8257420910908,64686016.666666664,22.5,122.1,13.9,7.423584353535013
237,2014-10-01,886.7431703001162,349.329595118331,2.818477127991056,265.8344542120482,156.90121081937474,5.547193837893226,46.71132157345687,59.618869694638846,0.0,268.7785959253637,111.87738510598894,617.9645743747525,64727862.5,157.4,82.0,11.0,9.34525234674491
238,2014-11-01,941.4449064087958,409.52745785870843,2.439906000297207,275.1891039599916,155.07755490124305,7.750289648002892,34.481612739494345,56.9789813010583,0.0,254.2884385897986,99.21088368855555,687.1564678189972,64769708.333333336,123.3,51.1,7.6,8.058522281429518
239,2014-12-01,1005.2197457333515,415.8788096746896,3.406491370848035,226.96196980823828,235.96227858805784,8.534157329071919,55.83060067800411,58.66336718639353,0.0,358.9724748795756,123.01019629151774,646.247270853776,64811554.166666664,131.4,56.7,4.4,12.508241723157173
240,2015-01-01,1054.8471784054498,436.4483280753207,3.708888045962124,226.5467654741309,260.94804590044623,9.890368122565663,60.07681941116426,56.7800300369757,0.44793333888431447,388.1252794764808,127.19515090958994,666.7039815954137,64853400.0,153.5,58.4,3.7,10.632822622303724
241,2015-02-01,975.2088832280848,406.8607629411873,2.4351126066101076,229.99280464637377,231.60427622427756,7.144190662039948,41.34319859310837,55.0765174847992,0.7341148299339296,335.8843925544045,104.29802156988146,639.3065854339256,64897204.166666664,79.9,75.6,3.5,13.186645953254184
242,2015-03-01,981.0284077048902,419.36204409104107,3.059730747944192,218.31447284015837,223.52138306034414,8.141388832249165,49.27776888794329,57.90227310144681,1.467239306031718,340.3100531880151,116.78867012767098,640.7362476791436,64941008.333333336,94.9,121.0,5.5,9.755052713371045
243,2015-04-01,825.3737440575057,298.57862558270824,2.7358084629389365,206.5624795024222,221.94022641828812,5.847120048242041,29.664746666769254,57.201642306808225,2.860976170393659,317.5147116105013,95.57448519221317,507.8769135480694,64984812.5,45.5,211.8,7.9,8.199778779449245
244,2015-05-01,771.478628511499,209.96140929749646,2.4301916310178315,222.27318895757946,225.66830961856022,6.236300582538406,46.06642665267624,55.9480146817414,2.8947870898888874,336.8138386254052,111.14552900684494,434.64692082998334,65028616.666666664,109.9,173.8,9.5,7.483546006091876
245,2015-06-01,735.8702409834274,178.71312994156955,2.7499822153279094,242.24843333206763,217.67716366783907,4.732112253648675,30.46408869707411,56.07106594889373,3.2142649270066466,312.1586954944622,94.48153182662317,423.7115454889651,65072420.833333336,56.2,188.7,12.7,6.175870928389384
246,2015-07-01,744.9936786108224,176.30874639922692,3.0693425486505093,241.37167042469062,226.07849272589127,5.121519252690094,33.031122427628446,57.121892431571396,2.908737415290889,324.2617642530721,98.18327152718082,420.7319143577503,65116225.0,107.6,160.8,14.4,6.879934182880586
